"forecastdate","lst","height","z","win_s","win_d","rh","tc","td"
"2018-01-01 20:00:00","2018-01-02 20:00:00",925,859.81,4.71,270.62,98.69,6.57,6.29
"2018-01-01 20:00:00","2018-01-02 21:00:00",925,861.05,3.79,270.35,97.89,6.62,6.23
"2018-01-01 20:00:00","2018-01-02 22:00:00",925,859.06,3.26,275.51,99.26,6.55,6.36
"2018-01-01 20:00:00","2018-01-02 23:00:00",925,859.72,2.83,290.8,100,6.48,6.42
"2018-01-01 20:00:00","2018-01-03 00:00:00",925,861.08,2.89,306.71,100,6.36,6.34
"2018-01-01 20:00:00","2018-01-03 01:00:00",925,861.63,5.03,341.98,100,5.92,5.91
"2018-01-01 20:00:00","2018-01-03 02:00:00",925,862.86,6.32,339.93,100,5.74,5.73
"2018-01-01 20:00:00","2018-01-03 03:00:00",925,865.14,6.84,354.34,100,5.33,5.32
"2018-01-01 20:00:00","2018-01-03 04:00:00",925,866.12,9.1,5.03,100,5,4.99
"2018-01-01 20:00:00","2018-01-03 05:00:00",925,868.17,8.68,19.2,99.74,4.84,4.79
"2018-01-01 20:00:00","2018-01-03 06:00:00",925,870.02,12.19,23.78,100,4.46,4.45
"2018-01-01 20:00:00","2018-01-03 07:00:00",925,871.41,13.04,22.16,100,4.1,4.09
"2018-01-01 20:00:00","2018-01-03 08:00:00",925,873.23,13.06,24.34,100,3.7,3.69
"2018-01-01 20:00:00","2018-01-03 09:00:00",925,873.87,14.25,29.1,99.97,3.05,3.03
"2018-01-01 20:00:00","2018-01-03 10:00:00",925,871.04,14.38,29.41,100,2.78,2.76
"2018-01-01 20:00:00","2018-01-03 11:00:00",925,870.79,14.5,34.9,99.97,2.53,2.51
"2018-01-01 20:00:00","2018-01-03 12:00:00",925,870.31,13.51,33.86,99.92,2.62,2.56
"2018-01-01 20:00:00","2018-01-03 13:00:00",925,867.91,13.65,34.02,100,2.42,2.41
"2018-01-01 20:00:00","2018-01-03 14:00:00",925,867.1,14.55,32.54,100,2.74,2.72
"2018-01-01 20:00:00","2018-01-03 15:00:00",925,867.22,14.59,32.41,100,2.34,2.32
"2018-01-01 20:00:00","2018-01-03 16:00:00",925,871.15,14.73,36.15,100,1.62,1.6
"2018-01-01 20:00:00","2018-01-03 17:00:00",925,872.6,14.88,35.77,100,1.21,1.2
"2018-01-01 20:00:00","2018-01-03 18:00:00",925,873.48,15.4,35.8,99.99,0.83,0.81
"2018-01-01 20:00:00","2018-01-03 19:00:00",925,876,15.42,35.96,99.98,0.71,0.69
"2018-01-01 20:00:00","2018-01-03 20:00:00",925,878.33,14.88,33.83,99.95,0.65,0.63
"2018-01-01 20:00:00","2018-01-03 21:00:00",925,878.52,14.52,38.03,99.91,0.48,0.45
"2018-01-01 20:00:00","2018-01-03 22:00:00",925,873.13,14.74,35.13,99.99,0.55,0.54
"2018-01-01 20:00:00","2018-01-03 23:00:00",925,871.59,14.3,33.57,100,0.45,0.44
"2018-01-01 20:00:00","2018-01-04 00:00:00",925,870.87,13.7,29.5,96.87,0.38,-0.12
"2018-01-01 20:00:00","2018-01-04 01:00:00",925,868.16,13.61,36.45,96.44,0.38,-0.17
"2018-01-01 20:00:00","2018-01-04 02:00:00",925,866.02,12.76,30.41,100,0.47,0.46
"2018-01-01 20:00:00","2018-01-04 03:00:00",925,865.18,14.21,22.87,100,0.45,0.44
"2018-01-01 20:00:00","2018-01-04 04:00:00",925,866.49,12.35,17.68,99.59,0.75,0.63
"2018-01-01 20:00:00","2018-01-04 05:00:00",925,865.36,14.01,26.34,100,0.39,0.38
"2018-01-01 20:00:00","2018-01-04 06:00:00",925,865.01,12.6,19.28,100,0.54,0.53
"2018-01-01 20:00:00","2018-01-04 07:00:00",925,863.83,13.34,19.15,100,0.7,0.69
"2018-01-01 20:00:00","2018-01-04 08:00:00",925,862.68,12.67,24.04,100,0.75,0.73
"2018-01-01 20:00:00","2018-01-04 09:00:00",925,859.49,10.91,14.41,99.03,0.83,0.63
"2018-01-01 20:00:00","2018-01-04 10:00:00",925,851.68,13.6,20.48,100,1.31,1.3
"2018-01-01 20:00:00","2018-01-04 11:00:00",925,846.86,11.09,11.67,95.27,1.74,1.01
"2018-01-01 20:00:00","2018-01-04 12:00:00",925,842.9,12.57,17.78,100,1.92,1.9
"2018-01-01 20:00:00","2018-01-04 13:00:00",925,837.09,10.29,10.09,96.77,2.16,1.64
"2018-01-01 20:00:00","2018-01-04 14:00:00",925,832.39,11.55,11.3,100,2.17,2.16
"2018-01-01 20:00:00","2018-01-04 15:00:00",925,829.67,10.54,6.7,99.75,2.45,2.35
"2018-01-01 20:00:00","2018-01-04 16:00:00",925,830.53,12.67,1.54,99.1,3.06,2.87
"2018-01-01 20:00:00","2018-01-04 17:00:00",925,828.03,13.25,6.57,100,2.94,2.93
"2018-01-01 20:00:00","2018-01-04 18:00:00",925,825.86,11.89,3.14,100,3.25,3.23
"2018-01-01 20:00:00","2018-01-04 19:00:00",925,826.18,11.61,6.6,100,3.26,3.25
"2018-01-01 20:00:00","2018-01-04 20:00:00",925,825.59,11.13,4.62,100,3.46,3.44
"2018-01-01 20:00:00","2018-01-04 21:00:00",925,824.2,10.89,11.3,100,3.51,3.5
"2018-01-01 20:00:00","2018-01-04 22:00:00",925,818.12,11.74,16.32,100,3.66,3.64
"2018-01-01 20:00:00","2018-01-04 23:00:00",925,817.09,12.54,23.35,100,3.42,3.41
"2018-01-01 20:00:00","2018-01-05 00:00:00",925,814.8,10.5,18.1,97.83,3.73,3.34
"2018-01-01 20:00:00","2018-01-05 01:00:00",925,811.08,9.41,15.11,97.71,4.11,3.7
"2018-01-01 20:00:00","2018-01-05 02:00:00",925,810.21,9.98,21.66,100,3.58,3.57
"2018-01-01 20:00:00","2018-01-05 03:00:00",925,810.78,8.64,27.31,99.65,3.39,3.31
"2018-01-01 20:00:00","2018-01-05 04:00:00",925,815.95,9.03,46.14,100,3.22,3.2
"2018-01-01 20:00:00","2018-01-05 05:00:00",925,820.73,10.62,50.25,100,3.05,3.03
"2018-01-01 20:00:00","2018-01-05 06:00:00",925,823.79,10.25,58.14,99.09,2.79,2.6
"2018-01-01 20:00:00","2018-01-05 07:00:00",925,825.68,8.85,57.48,95.26,3.03,2.28
"2018-01-01 20:00:00","2018-01-05 08:00:00",925,827.55,7.65,63.71,91.78,3.12,1.84
"2018-01-01 20:00:00","2018-01-05 09:00:00",925,828.49,7.41,64.57,94.05,3,2.08
"2018-01-01 20:00:00","2018-01-05 10:00:00",925,827.35,7.27,58.58,96.48,3.07,2.5
"2018-01-01 20:00:00","2018-01-05 11:00:00",925,827.54,8.48,63.07,99.62,2.64,2.56
"2018-01-01 20:00:00","2018-01-05 12:00:00",925,828.73,9.82,54.42,100,2.77,2.76
"2018-01-01 20:00:00","2018-01-05 13:00:00",925,827.36,9.85,60.12,100,2.39,2.37
"2018-01-01 20:00:00","2018-01-05 14:00:00",925,825.92,10.86,75.04,100,2.32,2.3
"2018-01-01 20:00:00","2018-01-05 15:00:00",925,826.19,10.24,61.53,100,1.77,1.76
"2018-01-01 20:00:00","2018-01-05 16:00:00",925,833.97,9.49,60.29,99.86,1.17,1.13
"2018-01-01 20:00:00","2018-01-05 17:00:00",925,836.16,6.92,53.3,99.07,1.03,0.84
"2018-01-01 20:00:00","2018-01-05 18:00:00",925,837.07,7.16,58.63,95.7,0.73,0.07
"2018-01-01 20:00:00","2018-01-05 19:00:00",925,842.44,8.05,57.69,99.91,0.16,0.09
"2018-01-01 20:00:00","2018-01-05 20:00:00",925,845.34,7.97,57.67,94.74,0.35,-0.45
"2018-01-01 20:00:00","2018-01-01 20:00:00",850,1542.75,3.48,278.31,11.18,3.35,-24.46
"2018-01-01 20:00:00","2018-01-01 21:00:00",850,1544.54,3.99,279.05,11.49,3.35,-24.35
"2018-01-01 20:00:00","2018-01-01 22:00:00",850,1548.22,4.54,277.32,11.16,3.46,-24.64
"2018-01-01 20:00:00","2018-01-01 23:00:00",850,1549.93,4.94,271.24,11.85,3.49,-24.39
"2018-01-01 20:00:00","2018-01-02 00:00:00",850,1548.99,5.77,269.24,14.33,3.22,-22.92
"2018-01-01 20:00:00","2018-01-02 01:00:00",850,1549.52,6.46,267.06,16.94,3.16,-21.32
"2018-01-01 20:00:00","2018-01-02 02:00:00",850,1546.2,7.84,264.87,20.71,3.01,-19.15
